Volume,Time,Pressure,Temp,nu,rho
0.59,30.63,0.08,20,1.00401E-06,998
1.685,16.23,1.7,20,1.00401E-06,998
1.075,8.82,2.23,20,1.00401E-06,998
0.032,30.7,0.1,20.6,9.9078E-07,997.88
0.172,30.61,0.801,20.6,9.9078E-07,997.88
0.42,30.75,4.14,20.6,9.9078E-07,997.88
0.6,30.66,8.1,20.6,9.9078E-07,997.88
0.01,13.46,0.738,19,1.03104E-06,998.22
0.0895,29.3,4.219,20,1.00401E-06,998
0.036,10.44,5.2,19,1.03104E-06,998.22
0.235,56.45,8.65,19,1.03104E-06,998.22
0.765,30.82,0.108,21.6,9.68727E-07,997.68
2.55,30.75,0.94,21.6,9.68727E-07,997.68
3.75,30.88,1.885,21.6,9.68727E-07,997.68
0.19,19.5,0.05,20.2,9.99599E-07,997.96
0.42,31.83,0.157,22.1,9.57698E-07,997.58
0.98,16.6,2.58,22.1,9.57698E-07,997.58
0.99,12.16,5.02,22.1,9.57698E-07,997.58
